name,cuisine,address,rating,latitude,longitude,phone,user_ratings_total,website,authenticity_score
Shree Datta Snacks,Indian,"BPCL Company Pump Warve, NH 4, Pune - Satara Rd, near Hotel Nataraj, Pune",4.0,18.2997949,73.874494,Not Available,122.0,https://shreedattasnacksexpressway.com/,4.13
Sardarji Food,Indian,"Beside of HP petrol pump, GATE NO. 522 Village Kelawade NH-4, Bengaluru - Mumbai Hwy, Pune",4.2,18.2888751,73.8738619,+91 84460 55599,10.0,,4.28
Vaango,Indian,"7VMG+X8Q, Mumbai - Satara Hwy, Pune",4.3,18.2850353,73.875748,Not Available,,,
Hotel Rajpurohit Rajastani Dhaba,Indian,"Pune, Banglore Highway, Kelawade",3.9,18.2803902,73.8765511,+91 84828 60770,217.0,,4.02
Pushpasara Pure Veg,Indian,"Haveli, Sr.No. 1/2, Vitthal Empire, Dehu Alandi Road, Taluka, near Kulkarni Hospital, At Post, Dehu",4.6,18.7164261,73.7693528,+91 74838 39696,294.0,https://www.pushpasarapureveg.in/,4.52
Ekadashi Pure Veg,Indian,"Parandwak Chowk, Dehugaon, near HP Petrol Pump, Pune",4.2,18.7148517,73.7645368,+91 74107 11706,372.0,,4.22
Naadbramha idli Dehugaon,Indian,"Dehu - Yelwadi Rd, Dehu",4.5,18.7200867,73.7661577,+91 89563 37335,32.0,https://naadbramha.com/,4.34
Raju snacks centre,Indian,"Shop no 1, Dehu - Yelwadi Rd, opp. bank of maharastra, Dehu",4.3,18.7185523,73.7678475,+91 86688 79681,78.0,,4.29
Amrutvel Restaurant (Pure Veg),Indian,"Talegaon-Chakan Rd, Dehufata, Sudhavadi",3.9,18.7387743,73.75488589999999,+91 91129 38949,539.0,,3.96
Hotel GHARACHI AATHAWAN,Indian,"Sangurdi Phata, Dehu - Yelwadi Rd, Yelwadi",4.4,18.7220446,73.76178589999999,+91 788 788 9337,142.0,,4.35
Geetanjali Pure Veg. Restaurant,Indian,"PQ98+RPX, At Post Dehu, near Corporation Bank, Tal Haveli, Dehu",4.1,18.719831,73.7668956,+91 98904 59998,549.0,,4.13
Adhik Fine dine (O'zara Pure Veg Restaurant),Indian,"158, Talegaon-Chakan Rd, opp. Z.P School, Khalumbre",4.3,18.7422862,73.77629499999999,+91 77210 90000,2036.0,,4.3
Nakshatram Pure Veg Restaurant & A.V Lodge,Indian,"Talegaon-Chakan Rd, Dehu, Sudhavadi",4.2,18.7398558,73.7564846,+91 99221 22052,508.0,,4.21
Shridevi Idli Centre,Indian,"Survey No, 75, 1/C, Ghatha Mandir Rd, near Vaikhunth Mandir, Dehu",5.0,18.7229566,73.7685265,+91 79723 62731,1.0,,4.29
Hotel Maratha Palace,Indian,"PQR8+VX8, Talegaon-Chakan Rd, sudapul, Sudumbre",5.0,18.742152,73.7674382,Not Available,2.0,,4.3
Sarang veg hotel,Indian,"NEW BYPASS BRIDGE, Dehu - Yelwadi Rd, near NEW BYPASS BRIDGE, SANGURDI PHATA, Yelwadi",4.6,18.7197333,73.7625109,+91 90675 12121,432.0,https://www.instagram.com/sarang_veg?igsh=MXR2ZDZ0NjY5b3kwbg%3D%3D&utm_source=qr,4.54
Rameshwar South Indian Cafe - Sahakar Nagar,Indian,"Shop No. 9, pacific Heights, opposite pune peoples bank, Sahakar Nagar, Parvati Paytha, Pune",3.7,18.48511,73.849738,Not Available,54.0,,4.08
Amma Pakoda,Indian,"Co-op Soc, Maniratna Complex, Shop 1 2 New, Aranyeshwar Padmavati Rd, Corner, Pune",4.1,18.4863372,73.8538682,+91 84848 25234,392.0,,4.14
Anna Idli house,Indian,"Sinhgad Institute Rd, Vadgaon Budruk, Pune",4.6,18.464383,73.8344609,+91 94042 85656,129.0,,4.46
Raamendra The Bangalore Eatery,Indian,"Shop no. 3, Hamy Capital, Pune - Satara Rd, Shridharnagar, Chaitanya nagar, Dhankawadi, Pune",4.0,18.4622817,73.8578503,Not Available,27.0,,4.22
Naivedhyam,Indian,"shop no 3, Hotel NAIVEDHYAM, chandrai capital, Shingad law collage, shingad law collage, road, Vadgaon Budruk, Pune",4.6,18.4632364,73.83676129999999,Not Available,43.0,,4.38
Venkateshwara Bhuvan,Indian,"FVQ5+R8P, Adinath Society, Parsanees Colony, Maharshi Nagar, Pune",4.7,18.4895865,73.8583393,Not Available,75.0,,4.46
SA DOSA CAFE (BIBWEWADI),Indian,"Soba Saanj Apartment, Sitaram Aabaji Bibwe Path, opp. to bhagali hospital, Shree Sant Eknath Nagar, Padmavati Nagar, Pune",4.5,18.4749983,73.858436,+91 98234 44534,2736.0,http://www.sadosacafe.com/,4.49
Jagaat Bhaari Kolhapuri,Indian,"Satara Road Opp. City Pride, Taware Colony, Pune",4.2,18.4882705,73.85719379999999,+91 96234 49301,3429.0,,4.2
Sargam Family Restaurant,Indian,"Shop No. 3, Sargam Appartment, 13, Swami Vivekanand Rd, opp. to Canara Bank, Shree Sant Eknath Nagar, Bibwewadi, Pune",4.4,18.471343,73.8631347,+91 77740 93030,380.0,https://magicpin.in/Pune/Bibvewadi/Restaurant/Sargam-Family-Restaurant/store/5c5912/?utm_source=gbp,4.38
Relax Pure Veg,Indian,"84/2, Darpan Sarang SOC, Sahakar Nagar, Parvati Paytha, Pune",4.1,18.4904135,73.85003789999999,+91 70575 79889,8231.0,,4.1
JM Idly Café,Indian,"Shop no 7, Chandrai Capital Building, near Sinhgad Institute of Management, Ambegaon Budruk, Pune",4.9,18.4631537,73.8366788,+91 75591 18589,19.0,https://www.annaidly.in/,4.38
Katakirrr Satara Road,Indian,"City Pride, Adarsh Society, Survey No 694/1 Utsav Hotel Chowk, Near Woodland Showroom Near, Satara Rd, Pune",4.0,18.4899526,73.8579766,+91 70404 05050,2788.0,https://m.facebook.com/Katakirrr.satara.road/,4.01
Swad Nagpuri,Indian,"Shop No, 8, Chandrai Capital Building, near Sinhgad Institute of Management, Ambegaon Budruk, Pune",5.0,18.4631561,73.8367537,+91 76207 41703,52.0,https://www.instagram.com/swadnagpuri23?igsh=MTc2bGdzNGYyd3lpdA==,4.53
Yenna Dosa - South Indian restaurant in pune,Indian,"Otta no 248, FVC7+89G Yenna Dosa, Kothari blocks, Vasant Baug, Sangam Society, Bibwewadi, Pune",4.2,18.4784677,73.8604865,+91 75229 09090,3343.0,https://yennadosa.com/,4.2
Guddan's Rasoi,Indian,"Shop No 2, Dining Hall Chowk, Undri Road, Handewadi, S No 26, 1 2, Handewadi Road, near SHIV SHAKTI, Pune",5.0,18.4699646,73.8569303,+91 90281 20441,26.0,,4.43
Naadbramha Idli Singhgad Campus,Indian,"Sinhgad Institute Rd, Vadgaon Budruk, Pune",4.8,18.4602212,73.8357898,+91 90670 09822,47.0,https://naadbramha.com/,4.45
"Naadbramha Idli- KK Market Dhankawadi Bibvewadi, Pune",Indian,"KK Market Rd, opp. KK Market, Punyai Nagar, Panchod, Mangawadi, Pune",4.6,18.4686038,73.8596383,+91 75585 92025,848.0,https://naadbramha.com/,4.57
The good bowl,Indian,"occ no. 2, building, no. b, Satara Rd, Vasant Baug, Vasant Baug Society, Maharshi Nagar, Pune",3.1,18.4875209,73.8577845,+91 91366 81543,180.0,http://zoma.to/r/18874624,3.52
Atithi Veg,Indian,"serve no 15, Bhargav Stella, Shop no G1, Dhankawadi, Pune",4.5,18.4696582,73.8571127,+91 89830 08127,1050.0,,4.48
Shree narayan khaman and sweets balajinagar,Indian,"Shop no, rajvihar society, 1, Pawar hospital road, near Ellora Palace, New Rajgad Society, Panchod, Balaji Nagar, Pune",4.2,18.4658638,73.85887950000001,+91 73855 22221,1159.0,,4.21
"Naadbramha Idli - Parvati Paytha, Pune",Indian,"Vrushali Complex, Shiv Darshan Rd, LIC Colony, Sivadarshan Poorgrasta Vasahat, Parvati Paytha, Pune",4.2,18.4886081,73.8537372,+91 94038 20801,170.0,http://naadbramha.com/,4.23
Astha Veg Platter,Indian,"Bk, Sinhgad Institute Rd, opp. Bank of India (Sou. Venutai chavan Polytechnic Sihivsrushti, Ambegaon Budruk, Pune",3.9,18.4622283,73.8362906,Not Available,18.0,,4.23
Pune Adda,Indian,"Crystal Corporate, Bibwewadi Kondhwa Rd, opposite Light House, Vasant Baug, Market Yard, Gultekadi, Pune",4.3,18.4811276,73.8623527,+91 77580 88597,827.0,,4.3
Ved Pure Veg,Indian,"MANGALMURTI COMPLEX, Sinhgad Rd, Pune Okayama Friendship Garden, Dattawadi, Pune",4.6,18.4896766,73.8319894,+91 82081 06537,139.0,,4.47
Mehfil Restaurant And Bar,Indian,"Aranyeshwar Corner, 49/1, Supreme Industrial Estate, Pune - Satara Rd, Ruturang Society Phase II, Parvati Paytha, Pune",3.9,18.485792,73.857259,+91 20 2422 9837,522.0,,3.96
MAHARAJA BIRYANI'S,Indian,"Sinhgad campus, Vadgaon Budruk, Pune",4.7,18.4644556,73.8326335,Not Available,111.0,,4.5
Hotel Rutu gandh,Indian,"Shop no 4, Jadhav Nagar, Lane no 6, Vadgaov Bk, Sinhgad Rd, pune,, Pune",3.7,18.4684962,73.831026,+91 98223 29630,230.0,,3.88
Radha Krushna Pure Veg. Family Restaurant,Indian,"Soba Savera Co. Op. Society, opp. Yashwantrao Chavan School, Bibwewadi, Pune",4.0,18.4751345,73.8603832,+91 88568 76273,2096.0,,4.01
Jai Bhavani Restaurant,Indian,"25/1,1st Floor, Kapila Building, Pune - Satara Rd, near HDFC bank, Shridharnagar, Vivek Nagar, Dhankawadi, Pune",3.8,18.4633359,73.85853190000002,+91 99355 87474,816.0,,3.85
Southex Idli,Indian,"FV75+H3H, Balaji Nagar Rd, Chitanya Nagar, Kala Nagar, Dhankawadi, Pune",4.2,18.4641771,73.8578622,Not Available,23.0,https://southexidli.co.in/,4.27
Shivanjali Biryani,Indian,"Geetanjali- Shivanjali, Pune Satara Road, Mahadev Vihar Society Shop no 8. Near Walvekar Lawns, Pune",4.6,18.4810832,73.856538,+91 87964 36555,90.0,,4.43
Nimantran Restaurant & Bar,Indian,"692/A/3C, next to Pushpa Mangal Karyalaya, Vasant Baug, Prem Nagar, Bibwewadi, Pune",4.1,18.4862639,73.858857,+91 83080 09009,6204.0,https://www.nimantranrestaurant.com/,4.1
R.K.Biryani House,Indian,"Soba Savera Apartment, shop, Sr No 681 / 1 / 2, Shop No B.S.4, Society, next to relax corner, Bibwewadi, Pune",3.8,18.4752437,73.86176019999999,+91 90116 56588,299.0,https://rkrestaurant.com/,3.92
Sumedyam,Indian,"FR8X+XMH, Sahyadri Nagar Rd, Sahyadri Nagar, Ramchandra Nagar, Jyoti Park, Dhankawadi, Pune",5.0,18.4674189,73.8491678,Not Available,2.0,,4.3
Ruchira Foodie Corner,Indian,"Padmadarshan Society, Sant Nagar, Parvati Paytha, Pune",4.0,18.4809594,73.8544096,+91 93710 78575,44.0,,4.2
Relax Dhaba,Indian,"Vadgaon Budruk, Pune",3.5,18.4650878,73.83377639999999,+91 99700 85034,211.0,,3.75
Khushboo Pure Veg - Dhankawadi,Indian,"Satara Road near Petrol Pump Vaibhav Nagar Society, Dhankawadi, Pune",4.1,18.4633697,73.8584774,+91 20 2436 9658,2899.0,,4.11
Bharne's Kitchen,Indian,"Shop No 1, Sinhgad Campus, Pune",5.0,18.4631251,73.83794329999999,Not Available,17.0,,4.39
Bibwewadi pune,Indian,"FV96+7XR, Lower Bibwewadi, Lower Indira Nagar, Bibwewadi, Pune",4.6,18.4682279,73.8623886,Not Available,19.0,,4.33
Milan Khanawal (सुभेदार बंधू),Indian,"Shewanta Hights, Ahilyadevi Chowk, Pune - Satara Rd, Sambhajinagar, Dhankawadi, Pune",4.0,18.468407,73.8571652,+91 70281 79864,465.0,,4.05
Sainath Khanaval Balaji Nagar,Indian,"Pune - Satara Rd, near HDFC Bank, opposite HP Petrol Pump, Chitanya Nagar, Kala Nagar, Balaji Nagar, Pune",4.3,18.4637633,73.85792719999999,+91 86688 69129,745.0,,4.3
"Aparant Nonveg, Dhankawadi",Indian,"Dhankawade Patil House, Pune - Satara Rd, above Akshay Veg Restaurant, near Axis Bank, Balajinagar, Dhankawadi, Pune",4.4,18.4666725,73.8581608,Not Available,203.0,,4.36
Ammas Idli,Indian,"Shop no 16, Shanti Dhoot complex, Shiv Darshan Rd, opp. to Muktangan school, Parvati, Parvati Industrial Estate, Parvati Paytha, Pune",5.0,18.4896522,73.8541803,Not Available,3.0,,4.3
Aarya's Biryani Hub,Indian,"Classic Complex, KK Market Rd, Punyai Nagar, Panchod, Balaji Nagar, Pune",4.5,18.4684376,73.8586275,+91 98600 87122,269.0,,4.44
Shivam Veg Restaurant,Indian,"FV84+23C, Dhankawadi Rd, Opp. Dhankawadi Post Office, Girinagar Society, Anant Nagar, Kala Nagar, Dhankawadi, Pune",3.9,18.4650694,73.8551454,+91 20 2436 6472,1432.0,,3.93
Relax Corner Pure Veg Restaurant,Indian,"Shop No B6, Soba Savera Complex, Bus Stop, behind Bibwewadi, Jedhe Nagar, Shree Sant Eknath Nagar, Padmavati Nagar, Pune",3.7,18.4752217,73.8616432,+91 96577 41643,836.0,,3.76
SAMRIDDHI By KD's Family Restaurant,Indian,"Shop No 10 11, Capital Building, Grand View 7, Pune",4.6,18.4607574,73.832276,+91 99990 01688,37.0,https://magicpin.in/Pune/Dhankawadi/Restaurant/Samriddhi-By-KdS-Family-Restaurant/store/1551208/?utm_source=gbp,4.37
REDDY'S BIRYANI,Indian,"SrNo 34/4, Siddhi Vinayak society Society, opposite of Mohan Nagar, Tanaje Nagar, Mohan Nagar, Dhankawadi, Pune",4.2,18.4602093,73.8499272,+91 81492 20393,771.0,https://youtu.be/XowGCQ1wfvl,4.21
Taware’Z Biryani,Indian,"Front of Chai Sutta Bar, Sinhgad Campus Vadgaon, Polly Hub, Datta Mandir Road, near Sai Medico, Vadgaon Budruk, Pune",4.9,18.4650121,73.8333277,Not Available,12.0,,4.35
Shree Samarth Snaks,Indian,"C/10/D/23, Konark Vihar, New Nurses Town Cooperative Society, Dhankawadi Nera, Hatti Chowk, Sambhaji, Pune",5.0,18.468222,73.854625,+91 96892 31648,4.0,,4.31
Surves Veg Nonveg,Indian,"Sr No 17, Pune - Satara Rd, Sahakar Nagar, Chowk, Padmavati Nagar, Pune",3.5,18.4747359,73.85603569999999,+91 98819 99960,32.0,,4.09
Tiranga - Biryani & Curry House,Indian,"Decision Towers, Pune - Satara Rd, next to McDonald’s, opposite Bhapkar Petrol Pump, Adinath Society, Arihant Society, Maharshi Nagar, Pune",3.8,18.4881496,73.8580329,+91 88888 49830,2078.0,,3.82
Hotel Kaveri - Bibwewadi,Indian,"Shop No. 251, opposite Kothari Block, beside Yenna Dosa, Natekar Society, Ota, Bibwewadi, Pune",3.9,18.4785805,73.8604392,+91 84400 40069,1359.0,https://www.facebook.com/HotelKaveriBibwewadi/,3.93
Mehfil India,Indian,"Shop No.1, Lilai Building, PMC Water Tank, Wadgaon Bk, Pune",4.1,18.4649463,73.83311119999999,+91 98601 94242,21.0,,4.25
Giriraj Pure Veg,Indian,"no 31, Trimurti Complex , Beside WS Bakers, Pune-Satara Road, Shop No.16 Survey No, Dhankawadi, Pune",4.0,18.4627846,73.85842629999999,+91 99756 51212,168.0,,4.11
The Hungry Sardar- Hungry to serve,Indian,"Gold touch fitness club, Sihagad law college, Vadgaon Budruk, Pune",4.6,18.4650612,73.83428669999999,+91 98503 18641,44.0,https://www.instagram.com/the_hungrysardar?igsh=MWthYzlyZzNnNng2OA==,4.38
Hotel Shree Ganesh Prasad,Indian,"Pune Banglore Highway Pashan Exit, Baner, Khed Shivapur, Ramnagar",4.1,18.3537943,73.8530588,Not Available,136.0,,4.18
"Sai Chhaya Misal House, Velu/NH4 Branch",Indian,Pune,3.7,18.3617368,73.85386749999999,+91 98505 15163,435.0,https://www.facebook.com/hotelsaichaya/,3.81
Hotel Samrudhi,Indian,"9V93+7M7, Satara Road, Velu Katraj, Pune",3.8,18.3681715,73.85415650000002,+91 70832 89977,285.0,,3.93
Hotel Vishal - Family Restaurant,Indian,"At Post Khed Shivapur, Pune-Banglore Highway, Pune",4.0,18.352509,73.85212419999999,+91 20 2438 4595,1512.0,,4.02
Ayodhya Pure Veg Family Restaurant,Indian,"Khed Shivapur Bag, Pune - Satara Rd, opposite Shriram Petrolium, Velu, Pune",4.4,18.3581793,73.852964,+91 93595 05799,344.0,http://www.ayodhyarestaurant.in/,4.37
Kailas Bhel,Indian,"Taluka Haveli, Pune-Satara Road, Opp. HP Petrol Pump Konde, Khed-Shivapur (Baug",4.1,18.3550205,73.85234299999999,+91 97300 88217,14643.0,,4.1
HOTEL SHREE VADEWALE MISAL HOUSE SOUTH INDIAN,Indian,"Pune - Satara Rd, At Post, Khed Shivapur, Pune",4.1,18.3538875,73.8532057,+91 77440 97729,220.0,,4.16
Mankar Dosa,Indian,"9V22+GQW, Khed Shivapur, Ramnagar",3.9,18.3513509,73.85195139999999,+91 98501 92939,234.0,,4.01
