name,cuisine,address,rating,latitude,longitude,phone,user_ratings_total,website,authenticity_score,summary_text
Naadbramha idli - Mohammed Wadi,Indian,"Shop no 3, Crystal park, Society, opposite Desai eye hospital, Mahadev Wadi, Mohammed Wadi, Pune",4.8,18.472672,73.92325509999999,+91 72197 02998,163.0,https://naadbramha.com/,4.6,"Naadbramha idli - Mohammed Wadi Indian Shop no 3, Crystal park, Society, opposite Desai eye hospital, Mahadev Wadi, Mohammed Wadi, Pune Rating: 4.8"
KK FLAVOURS OF AMRITSAR,Indian,"Undri, NIBM Rd, chowk, Pune",4.6,18.4628081,73.91339049999999,+91 83696 28944,16.0,,4.33,"KK FLAVOURS OF AMRITSAR Indian Undri, NIBM Rd, chowk, Pune Rating: 4.6"
Shree Maharaja Restaurant- Pure Veg,Indian,"Block-E, Arv Royale, Indira Nagar, Undri, Autadwadi Handewadi, Pune",4.3,18.4681116,73.9336971,+91 77568 92741,38.0,,4.29,"Shree Maharaja Restaurant- Pure Veg Indian Block-E, Arv Royale, Indira Nagar, Undri, Autadwadi Handewadi, Pune Rating: 4.3"
Anna South Food,Indian,"Mohammadwadi Rd, near saraswati, Jarande Nagar, Kondhwa, Pune",4.3,18.4800529,73.9103679,+91 95523 41421,15.0,,4.29,"Anna South Food Indian Mohammadwadi Rd, near saraswati, Jarande Nagar, Kondhwa, Pune Rating: 4.3"
Sayali Pure Veg,Indian,"Shop no, 104, Handewadi Rd, opp. Green City, Satav Nagar, Hadapsar, Pune",4.1,18.4749446,73.931422,+91 97629 59546,60.0,http://sayalipureveg.dotpe.in/,4.21,"Sayali Pure Veg Indian Shop no, 104, Handewadi Rd, opp. Green City, Satav Nagar, Hadapsar, Pune Rating: 4.1"
South Thindi,Indian,"Shop#2, next to Delhi Public School, Nyati County, Mohammed Wadi, Pune",3.8,18.4649205,73.9230907,Not Available,26.0,,4.18,"South Thindi Indian Shop#2, next to Delhi Public School, Nyati County, Mohammed Wadi, Pune Rating: 3.8"
SHREE BHOG - AUTHENTIC SOUTH INDIAN FOOD,Indian,"Shop no 3, Trimurti Villa, opp. H V Desai Eye Hospital, Mahadev Wadi, Mohammed Wadi, Pune",3.7,18.4724817,73.9232126,+91 70584 39595,93.0,,4.0,"SHREE BHOG - AUTHENTIC SOUTH INDIAN FOOD Indian Shop no 3, Trimurti Villa, opp. H V Desai Eye Hospital, Mahadev Wadi, Mohammed Wadi, Pune Rating: 3.7"
Silver Star Cafe & Food corner,Indian,"Lane No.18A, Mohammad Wadi Rd, Mohmmadwadi Ghule Nagar, Sayyed Nagar, Hadapsar, Pune",3.9,18.4859108,73.93075569999999,Not Available,347.0,,3.99,"Silver Star Cafe & Food corner Indian Lane No.18A, Mohammad Wadi Rd, Mohmmadwadi Ghule Nagar, Sayyed Nagar, Hadapsar, Pune Rating: 3.9"
VISHWARAAJ FOOD CORNER,Indian,"Shopno1,2, Handewadi Rd, Satav Nagar, Hadapsar, Pune",3.9,18.4771129,73.9315426,+91 82081 65914,215.0,https://instagram.com/vishwaraaj_food_corner?igshid=YmMyMTA2M2Y=,4.02,"VISHWARAAJ FOOD CORNER Indian Shopno1,2, Handewadi Rd, Satav Nagar, Hadapsar, Pune Rating: 3.9"
BOX8 - India's Largest Desi Meals Brand,Indian,"Ground Floor, Dyandeep Complex, Jai Bhavani Complex, Undri - Hadapsar Rd, Nyati County, Mohammed Wadi, Pune",4.9,18.4622842,73.91395589999999,Not Available,344.0,https://eatclub.in/,4.76,"BOX8 - India's Largest Desi Meals Brand Indian Ground Floor, Dyandeep Complex, Jai Bhavani Complex, Undri - Hadapsar Rd, Nyati County, Mohammed Wadi, Pune Rating: 4.9"
Tirumala Bhavan,Indian,"SHOP NO.2, HAVELI Samrudhi P S, SR.NO.18, NIBM Rd, Kondhwa, Pune",4.7,18.4794657,73.8964104,+91 88300 22336,82.0,,4.47,"Tirumala Bhavan Indian SHOP NO.2, HAVELI Samrudhi P S, SR.NO.18, NIBM Rd, Kondhwa, Pune Rating: 4.7"
Venkateshwara restaurant,Indian,"B G Lonkar Rd, Bhatnagar Colony, Kondhwa, Pune",4.3,18.4790758,73.89632379999999,+91 70204 98665,1054.0,http://venkateshwara.net/,4.3,"Venkateshwara restaurant Indian B G Lonkar Rd, Bhatnagar Colony, Kondhwa, Pune Rating: 4.3"
Oota Maadi,Indian,"Shop No. 06, Empire Eternity, Salunke Vihar Rd, opp. Reliance Fresh, Kondhwa, Pune",3.9,18.4814524,73.89809699999999,+91 70300 68686,298.0,,4.0,"Oota Maadi Indian Shop No. 06, Empire Eternity, Salunke Vihar Rd, opp. Reliance Fresh, Kondhwa, Pune Rating: 3.9"
ANNA,Indian,"281, Market Yard Rd, In front of Shivaji Statue, Market Yard, Gultekadi, Pune",4.1,18.4890619,73.86913109999999,+91 98222 93793,3824.0,,4.1,"ANNA Indian 281, Market Yard Rd, In front of Shivaji Statue, Market Yard, Gultekadi, Pune Rating: 4.1"
South Samrat Pure Veg,Indian,"Prasun Senate, Building, Salunke Vihar Rd, opp. Shamrao Vithal Bank, Near The Rosary School & Jr College - Salunkhe Vihar (New Management), Wanowrie, Pune",4.1,18.4821656,73.8959022,+91 80870 26002,3046.0,http://www.southsamrat.com/,4.11,"South Samrat Pure Veg Indian Prasun Senate, Building, Salunke Vihar Rd, opp. Shamrao Vithal Bank, Near The Rosary School & Jr College - Salunkhe Vihar (New Management), Wanowrie, Pune Rating: 4.1"
"Mr and Mrs Idly, South Indian Restaurant Gangadham Shatrunjay Road | Opp. Shantinagar",Indian,"Shop No 6, Rajguruhi Business Hub, road, near Shri Shanti Nagar Society, Kasat Nagar, Kondhwa Budruk, Pune",4.5,18.4606429,73.87757289999999,+91 92268 46232,342.0,https://mrandmrsidlypune.com/,4.45,"Mr and Mrs Idly, South Indian Restaurant Gangadham Shatrunjay Road | Opp. Shantinagar Indian Shop No 6, Rajguruhi Business Hub, road, near Shri Shanti Nagar Society, Kasat Nagar, Kondhwa Budruk, Pune Rating: 4.5"
Sahil Restaurant,Indian,"383, 3rd Ln, Market Yard, Gultekadi, Pune",3.9,18.4864555,73.8690129,Not Available,197.0,,4.03,"Sahil Restaurant Indian 383, 3rd Ln, Market Yard, Gultekadi, Pune Rating: 3.9"
Meghdoot's Hotel,Indian,"43-47, Bibwewadi Kondhwa Road Ganga Parisar,, Gagan Samrudhi, Gangadham Phase II, Ganga Dham, Pune",4.0,18.4809059,73.87532929999999,+91 88060 01009,3622.0,,4.01,"Meghdoot's Hotel Indian 43-47, Bibwewadi Kondhwa Road Ganga Parisar,, Gagan Samrudhi, Gangadham Phase II, Ganga Dham, Pune Rating: 4.0"
Jyoti Pure Veg Restaurant,Indian,"A1/1, Plot No-45/46, Ground Floor, Picasso Plaza, NIBM Cross Road, Krishnakevalnagar, Shivneri Nagar, Kondhwa, Pune",4.2,18.4780749,73.8902166,+91 20 2683 5503,8203.0,,4.2,"Jyoti Pure Veg Restaurant Indian A1/1, Plot No-45/46, Ground Floor, Picasso Plaza, NIBM Cross Road, Krishnakevalnagar, Shivneri Nagar, Kondhwa, Pune Rating: 4.2"
Raju dosawala,Indian,"SR NO 657/8, Shelke vasti, nr. DTC, Upper Indira Nagar, Bibwewadi, Pune",4.8,18.4649965,73.8765671,Not Available,14.0,,4.35,"Raju dosawala Indian SR NO 657/8, Shelke vasti, nr. DTC, Upper Indira Nagar, Bibwewadi, Pune Rating: 4.8"
The Spice Cartel Restaurant,Indian,"SARVODAYA SOCIETY, NIBM Rd, Sarvodaya Housing Complex, Kondhwa, Pune",5.0,18.4774655,73.8944447,Not Available,1.0,,4.29,"The Spice Cartel Restaurant Indian SARVODAYA SOCIETY, NIBM Rd, Sarvodaya Housing Complex, Kondhwa, Pune Rating: 5.0"
Hyderabad Biryani House,Indian,"Sr No. 658/7, Shivray Nagar, Kondhwa Main Rd, Upper Indira Nagar, Bibwewadi, Pune",4.0,18.4610427,73.87666279999999,+91 72761 16613,24.0,,4.23,"Hyderabad Biryani House Indian Sr No. 658/7, Shivray Nagar, Kondhwa Main Rd, Upper Indira Nagar, Bibwewadi, Pune Rating: 4.0"
Tahari House,Indian,"Shop no. 2, S R. 14 S K prime building Kausarbaug Society, Kausar Baugh Rd, near Kausarbaug, Pune",4.0,18.4737657,73.89351169999999,+91 98902 35704,1396.0,,4.02,"Tahari House Indian Shop no. 2, S R. 14 S K prime building Kausarbaug Society, Kausar Baugh Rd, near Kausarbaug, Pune Rating: 4.0"
Cafe Zam Zam - Veg/Non-Veg,Indian,"FVFR+8CW, Kausar Baugh, Kondhwa, Pune",4.0,18.4733617,73.8910701,+91 20 2683 6912,4080.0,,4.01,"Cafe Zam Zam - Veg/Non-Veg Indian FVFR+8CW, Kausar Baugh, Kondhwa, Pune Rating: 4.0"
One by Two ( Daily Tiffin Service and Party Event Thali ) pune,Indian,"Saibaba Nagar, Kondhwa, Pune",4.8,18.4697069,73.8790235,+91 77209 99109,30.0,https://www.instagram.com/onebytwocloudkitchen?igsh=NW5ocmR0ZWFjNTY5,4.4,"One by Two ( Daily Tiffin Service and Party Event Thali ) pune Indian Saibaba Nagar, Kondhwa, Pune Rating: 4.8"
Pops Kitchen,Indian,"Shop No 8, Burhani Colony, Market Yard, Gultekadi, Pune",5.0,18.4828645,73.8719278,Not Available,12.0,,4.36,"Pops Kitchen Indian Shop No 8, Burhani Colony, Market Yard, Gultekadi, Pune Rating: 5.0"
Sardarji's Paratha & Chaap House,Indian,"shop no. 1, Majestic Biznow, Kondhwa, Pune",4.1,18.4802775,73.8961686,+91 98223 55249,959.0,,4.12,"Sardarji's Paratha & Chaap House Indian shop no. 1, Majestic Biznow, Kondhwa, Pune Rating: 4.1"
Hotel Subhanallah,Indian,"opp. Prega Clinic and Cafe Zamzam, Kausar Baugh, Kondhwa, Pune",4.4,18.4730639,73.8913701,+91 94221 94195,53.0,,4.32,"Hotel Subhanallah Indian opp. Prega Clinic and Cafe Zamzam, Kausar Baugh, Kondhwa, Pune Rating: 4.4"
DESTINATION BIRYANI & CHINESE HOUSE,Indian,"Swami Vivekanand Rd, near Jagtap dairy, Kasat Nagar, Kondhwa Budruk, Pune",5.0,18.4611661,73.873582,+91 99709 73020,34.0,,4.47,"DESTINATION BIRYANI & CHINESE HOUSE Indian Swami Vivekanand Rd, near Jagtap dairy, Kasat Nagar, Kondhwa Budruk, Pune Rating: 5.0"
Chula,Indian,"Narayan Tower, Narayan Annaji Shinde Road, Behind Salunke Vihar Telephone Exchange, Near NIBM Road, Pune",3.5,18.4787368,73.90151390000001,+91 84079 85039,86.0,,3.92,"Chula Indian Narayan Tower, Narayan Annaji Shinde Road, Behind Salunke Vihar Telephone Exchange, Near NIBM Road, Pune Rating: 3.5"
Gokul Pure Veg,Indian,"Opp, Gangadham - Shatrunjay Rd, Shanti Nagar Society, Kondhwa Budruk, Pune",4.0,18.4598908,73.8777492,+91 90670 30534,4235.0,https://mygokul.com/,4.01,"Gokul Pure Veg Indian Opp, Gangadham - Shatrunjay Rd, Shanti Nagar Society, Kondhwa Budruk, Pune Rating: 4.0"
Delhi Darbar Biryani,Indian,"FV6G+C4C, Shivrai Nagar, Upper Kondhwa Rd, Kasat Nagar, Kondhwa Budruk, Pune",4.0,18.4610953,73.8752724,+91 88875 29908,657.0,,4.04,"Delhi Darbar Biryani Indian FV6G+C4C, Shivrai Nagar, Upper Kondhwa Rd, Kasat Nagar, Kondhwa Budruk, Pune Rating: 4.0"
The Food Gallery,Indian,"Roopanand Apartment, 95, Sahaney Sujan Park, Lullanagar, Pune",4.6,18.484273,73.88959899999999,+91 98220 00433,22.0,https://www.thefoodgallery.in/,4.34,"The Food Gallery Indian Roopanand Apartment, 95, Sahaney Sujan Park, Lullanagar, Pune Rating: 4.6"
Jashn,Indian,"Salunke Vihar Rd, next to Rosary School, opp. SVC Bank, Clover Village, Wanowrie, Pune",4.1,18.4824543,73.8955304,+91 91588 30817,6953.0,,4.1,"Jashn Indian Salunke Vihar Rd, next to Rosary School, opp. SVC Bank, Clover Village, Wanowrie, Pune Rating: 4.1"
Deccan Darbar Restaurant & Cafe,Indian,"Sr No.10, Kapre Male, near KGN Suzuki Showroom, Kausar Baugh, Kondhwa, Pune",4.1,18.4713158,73.891291,+91 93709 87123,601.0,https://delhidarbarrestaurant.com/,4.13,"Deccan Darbar Restaurant & Cafe Indian Sr No.10, Kapre Male, near KGN Suzuki Showroom, Kausar Baugh, Kondhwa, Pune Rating: 4.1"
Swaad Punjabi,Indian,"Shop No 21, Sunshree Suntech CHS, K, Narayan Annaji Shinde Rd, Kondhwa, Pune",5.0,18.4779205,73.9016749,+91 99717 41722,90.0,,4.62,"Swaad Punjabi Indian Shop No 21, Sunshree Suntech CHS, K, Narayan Annaji Shinde Rd, Kondhwa, Pune Rating: 5.0"
Madinah Restaurant,Indian,"Kausar Baugh Rd, Near Kausar Baug Masjid, Kausar Baugh, Kondhwa, Pune",3.9,18.4720496,73.8933617,+91 89283 85828,5491.0,http://www.madinahmart.in/,3.91,"Madinah Restaurant Indian Kausar Baugh Rd, Near Kausar Baug Masjid, Kausar Baugh, Kondhwa, Pune Rating: 3.9"
Loft On The Top,Indian,"Floor no-6, Clover Metropole, Clover Highlands Undri Rd, Kondhwa, Pune",4.2,18.4727389,73.8994776,+91 72629 35252,588.0,http://loftonthetop.com/,4.21,"Loft On The Top Indian Floor no-6, Clover Metropole, Clover Highlands Undri Rd, Kondhwa, Pune Rating: 4.2"
Kareem's Kebab,Indian,"19, Narayan Annaji Shinde Rd, Salunkhe Vihar Society, Kondhwa, Pune",2.0,18.4803762,73.90143739999999,+91 98500 64255,22.0,,3.87,"Kareem's Kebab Indian 19, Narayan Annaji Shinde Rd, Salunkhe Vihar Society, Kondhwa, Pune Rating: 2.0"
Spice Culture Bar and Kitchen,Indian,"Shop no 1, Narayan Tower, off Vitthal Rao Shivarkar Road, near Telephone Exchange, Kondhwa, Pune",4.3,18.4788373,73.9011751,+91 86696 68855,1339.0,,4.3,"Spice Culture Bar and Kitchen Indian Shop no 1, Narayan Tower, off Vitthal Rao Shivarkar Road, near Telephone Exchange, Kondhwa, Pune Rating: 4.3"
Royal Cafe,Indian,"Shop No 1, Raviraj Astria, Parge Nagar, Kondhwa, Pune",4.5,18.4649526,73.8901707,+91 75884 97373,6.0,,4.3,"Royal Cafe Indian Shop No 1, Raviraj Astria, Parge Nagar, Kondhwa, Pune Rating: 4.5"
Shahji's Parantha House (Gangadham),Indian,"Shop no 18 & 19, Apex Business Court, 588, Bibwewadi Kondhwa Rd, Gaganvihar, Gangadham Phase II, Ganga Dham, Pune",4.8,18.4815882,73.87650839999999,+91 77099 93396,1630.0,https://www.shahjis.com/,4.77,"Shahji's Parantha House (Gangadham) Indian Shop no 18 & 19, Apex Business Court, 588, Bibwewadi Kondhwa Rd, Gaganvihar, Gangadham Phase II, Ganga Dham, Pune Rating: 4.8"
A1 Bombay Caterers,Indian,"FV8M+GHP, Unity Park Road, opp. Chand K Plaza, Meeta Nagar, Kondhwa, Pune",4.3,18.4663533,73.883965,Not Available,,,,"A1 Bombay Caterers Indian FV8M+GHP, Unity Park Road, opp. Chand K Plaza, Meeta Nagar, Kondhwa, Pune Rating: 4.3"
Happy Da Punjab,Indian,"Behind Bharat Petrol Pump, Pune, warve, Bangalore Highway, Khed Shivapur",4.7,18.2991449,73.87417429999999,Not Available,15.0,,4.34,"Happy Da Punjab Indian Behind Bharat Petrol Pump, Pune, warve, Bangalore Highway, Khed Shivapur Rating: 4.7"
Jagtap mala,Indian,"Chintamani, Back side of Hotel, Pune - Satara Rd, Kelawade",4.2,18.2795174,73.87657329999999,+91 85548 68308,239.0,,4.22,"Jagtap mala Indian Chintamani, Back side of Hotel, Pune - Satara Rd, Kelawade Rating: 4.2"
Shree Datta Snacks,Indian,"BPCL Company Pump Warve, NH 4, Pune - Satara Rd, near Hotel Nataraj, Pune",4.0,18.2997949,73.874494,Not Available,122.0,https://shreedattasnacksexpressway.com/,4.13,"Shree Datta Snacks Indian BPCL Company Pump Warve, NH 4, Pune - Satara Rd, near Hotel Nataraj, Pune Rating: 4.0"
Sardarji Food,Indian,"Beside of HP petrol pump, GATE NO. 522 Village Kelawade NH-4, Bengaluru - Mumbai Hwy, Pune",4.2,18.2888751,73.8738619,+91 84460 55599,10.0,,4.28,"Sardarji Food Indian Beside of HP petrol pump, GATE NO. 522 Village Kelawade NH-4, Bengaluru - Mumbai Hwy, Pune Rating: 4.2"
Vaango,Indian,"7VMG+X8Q, Mumbai - Satara Hwy, Pune",4.3,18.2850353,73.875748,Not Available,,,,"Vaango Indian 7VMG+X8Q, Mumbai - Satara Hwy, Pune Rating: 4.3"
Hotel Rajpurohit Rajastani Dhaba,Indian,"Pune, Banglore Highway, Kelawade",3.9,18.2803902,73.8765511,+91 84828 60770,217.0,,4.02,"Hotel Rajpurohit Rajastani Dhaba Indian Pune, Banglore Highway, Kelawade Rating: 3.9"
Pushpasara Pure Veg,Indian,"Haveli, Sr.No. 1/2, Vitthal Empire, Dehu Alandi Road, Taluka, near Kulkarni Hospital, At Post, Dehu",4.6,18.7164261,73.7693528,+91 74838 39696,294.0,https://www.pushpasarapureveg.in/,4.52,"Pushpasara Pure Veg Indian Haveli, Sr.No. 1/2, Vitthal Empire, Dehu Alandi Road, Taluka, near Kulkarni Hospital, At Post, Dehu Rating: 4.6"
Ekadashi Pure Veg,Indian,"Parandwak Chowk, Dehugaon, near HP Petrol Pump, Pune",4.2,18.7148517,73.7645368,+91 74107 11706,372.0,,4.22,"Ekadashi Pure Veg Indian Parandwak Chowk, Dehugaon, near HP Petrol Pump, Pune Rating: 4.2"
Naadbramha idli Dehugaon,Indian,"Dehu - Yelwadi Rd, Dehu",4.5,18.7200867,73.7661577,+91 89563 37335,32.0,https://naadbramha.com/,4.34,"Naadbramha idli Dehugaon Indian Dehu - Yelwadi Rd, Dehu Rating: 4.5"
Raju snacks centre,Indian,"Shop no 1, Dehu - Yelwadi Rd, opp. bank of maharastra, Dehu",4.3,18.7185523,73.7678475,+91 86688 79681,78.0,,4.29,"Raju snacks centre Indian Shop no 1, Dehu - Yelwadi Rd, opp. bank of maharastra, Dehu Rating: 4.3"
Amrutvel Restaurant (Pure Veg),Indian,"Talegaon-Chakan Rd, Dehufata, Sudhavadi",3.9,18.7387743,73.75488589999999,+91 91129 38949,539.0,,3.96,"Amrutvel Restaurant (Pure Veg) Indian Talegaon-Chakan Rd, Dehufata, Sudhavadi Rating: 3.9"
Hotel GHARACHI AATHAWAN,Indian,"Sangurdi Phata, Dehu - Yelwadi Rd, Yelwadi",4.4,18.7220446,73.76178589999999,+91 788 788 9337,142.0,,4.35,"Hotel GHARACHI AATHAWAN Indian Sangurdi Phata, Dehu - Yelwadi Rd, Yelwadi Rating: 4.4"
Geetanjali Pure Veg. Restaurant,Indian,"PQ98+RPX, At Post Dehu, near Corporation Bank, Tal Haveli, Dehu",4.1,18.719831,73.7668956,+91 98904 59998,549.0,,4.13,"Geetanjali Pure Veg. Restaurant Indian PQ98+RPX, At Post Dehu, near Corporation Bank, Tal Haveli, Dehu Rating: 4.1"
Adhik Fine dine (O'zara Pure Veg Restaurant),Indian,"158, Talegaon-Chakan Rd, opp. Z.P School, Khalumbre",4.3,18.7422862,73.77629499999999,+91 77210 90000,2036.0,,4.3,"Adhik Fine dine (O'zara Pure Veg Restaurant) Indian 158, Talegaon-Chakan Rd, opp. Z.P School, Khalumbre Rating: 4.3"
Nakshatram Pure Veg Restaurant & A.V Lodge,Indian,"Talegaon-Chakan Rd, Dehu, Sudhavadi",4.2,18.7398558,73.7564846,+91 99221 22052,508.0,,4.21,"Nakshatram Pure Veg Restaurant & A.V Lodge Indian Talegaon-Chakan Rd, Dehu, Sudhavadi Rating: 4.2"
Shridevi Idli Centre,Indian,"Survey No, 75, 1/C, Ghatha Mandir Rd, near Vaikhunth Mandir, Dehu",5.0,18.7229566,73.7685265,+91 79723 62731,1.0,,4.29,"Shridevi Idli Centre Indian Survey No, 75, 1/C, Ghatha Mandir Rd, near Vaikhunth Mandir, Dehu Rating: 5.0"
Hotel Maratha Palace,Indian,"PQR8+VX8, Talegaon-Chakan Rd, sudapul, Sudumbre",5.0,18.742152,73.7674382,Not Available,2.0,,4.3,"Hotel Maratha Palace Indian PQR8+VX8, Talegaon-Chakan Rd, sudapul, Sudumbre Rating: 5.0"
Sarang veg hotel,Indian,"NEW BYPASS BRIDGE, Dehu - Yelwadi Rd, near NEW BYPASS BRIDGE, SANGURDI PHATA, Yelwadi",4.6,18.7197333,73.7625109,+91 90675 12121,432.0,https://www.instagram.com/sarang_veg?igsh=MXR2ZDZ0NjY5b3kwbg%3D%3D&utm_source=qr,4.54,"Sarang veg hotel Indian NEW BYPASS BRIDGE, Dehu - Yelwadi Rd, near NEW BYPASS BRIDGE, SANGURDI PHATA, Yelwadi Rating: 4.6"
Rameshwar South Indian Cafe - Sahakar Nagar,Indian,"Shop No. 9, pacific Heights, opposite pune peoples bank, Sahakar Nagar, Parvati Paytha, Pune",3.7,18.48511,73.849738,Not Available,54.0,,4.08,"Rameshwar South Indian Cafe - Sahakar Nagar Indian Shop No. 9, pacific Heights, opposite pune peoples bank, Sahakar Nagar, Parvati Paytha, Pune Rating: 3.7"
Amma Pakoda,Indian,"Co-op Soc, Maniratna Complex, Shop 1 2 New, Aranyeshwar Padmavati Rd, Corner, Pune",4.1,18.4863372,73.8538682,+91 84848 25234,392.0,,4.14,"Amma Pakoda Indian Co-op Soc, Maniratna Complex, Shop 1 2 New, Aranyeshwar Padmavati Rd, Corner, Pune Rating: 4.1"
Anna Idli house,Indian,"Sinhgad Institute Rd, Vadgaon Budruk, Pune",4.6,18.464383,73.8344609,+91 94042 85656,129.0,,4.46,"Anna Idli house Indian Sinhgad Institute Rd, Vadgaon Budruk, Pune Rating: 4.6"
Raamendra The Bangalore Eatery,Indian,"Shop no. 3, Hamy Capital, Pune - Satara Rd, Shridharnagar, Chaitanya nagar, Dhankawadi, Pune",4.0,18.4622817,73.8578503,Not Available,27.0,,4.22,"Raamendra The Bangalore Eatery Indian Shop no. 3, Hamy Capital, Pune - Satara Rd, Shridharnagar, Chaitanya nagar, Dhankawadi, Pune Rating: 4.0"
Naivedhyam,Indian,"shop no 3, Hotel NAIVEDHYAM, chandrai capital, Shingad law collage, shingad law collage, road, Vadgaon Budruk, Pune",4.6,18.4632364,73.83676129999999,Not Available,43.0,,4.38,"Naivedhyam Indian shop no 3, Hotel NAIVEDHYAM, chandrai capital, Shingad law collage, shingad law collage, road, Vadgaon Budruk, Pune Rating: 4.6"
Venkateshwara Bhuvan,Indian,"FVQ5+R8P, Adinath Society, Parsanees Colony, Maharshi Nagar, Pune",4.7,18.4895865,73.8583393,Not Available,75.0,,4.46,"Venkateshwara Bhuvan Indian FVQ5+R8P, Adinath Society, Parsanees Colony, Maharshi Nagar, Pune Rating: 4.7"
SA DOSA CAFE (BIBWEWADI),Indian,"Soba Saanj Apartment, Sitaram Aabaji Bibwe Path, opp. to bhagali hospital, Shree Sant Eknath Nagar, Padmavati Nagar, Pune",4.5,18.4749983,73.858436,+91 98234 44534,2736.0,http://www.sadosacafe.com/,4.49,"SA DOSA CAFE (BIBWEWADI) Indian Soba Saanj Apartment, Sitaram Aabaji Bibwe Path, opp. to bhagali hospital, Shree Sant Eknath Nagar, Padmavati Nagar, Pune Rating: 4.5"
Jagaat Bhaari Kolhapuri,Indian,"Satara Road Opp. City Pride, Taware Colony, Pune",4.2,18.4882705,73.85719379999999,+91 96234 49301,3429.0,,4.2,"Jagaat Bhaari Kolhapuri Indian Satara Road Opp. City Pride, Taware Colony, Pune Rating: 4.2"
Sargam Family Restaurant,Indian,"Shop No. 3, Sargam Appartment, 13, Swami Vivekanand Rd, opp. to Canara Bank, Shree Sant Eknath Nagar, Bibwewadi, Pune",4.4,18.471343,73.8631347,+91 77740 93030,380.0,https://magicpin.in/Pune/Bibvewadi/Restaurant/Sargam-Family-Restaurant/store/5c5912/?utm_source=gbp,4.38,"Sargam Family Restaurant Indian Shop No. 3, Sargam Appartment, 13, Swami Vivekanand Rd, opp. to Canara Bank, Shree Sant Eknath Nagar, Bibwewadi, Pune Rating: 4.4"
Relax Pure Veg,Indian,"84/2, Darpan Sarang SOC, Sahakar Nagar, Parvati Paytha, Pune",4.1,18.4904135,73.85003789999999,+91 70575 79889,8231.0,,4.1,"Relax Pure Veg Indian 84/2, Darpan Sarang SOC, Sahakar Nagar, Parvati Paytha, Pune Rating: 4.1"
JM Idly Café,Indian,"Shop no 7, Chandrai Capital Building, near Sinhgad Institute of Management, Ambegaon Budruk, Pune",4.9,18.4631537,73.8366788,+91 75591 18589,19.0,https://www.annaidly.in/,4.38,"JM Idly Café Indian Shop no 7, Chandrai Capital Building, near Sinhgad Institute of Management, Ambegaon Budruk, Pune Rating: 4.9"
Katakirrr Satara Road,Indian,"City Pride, Adarsh Society, Survey No 694/1 Utsav Hotel Chowk, Near Woodland Showroom Near, Satara Rd, Pune",4.0,18.4899526,73.8579766,+91 70404 05050,2788.0,https://m.facebook.com/Katakirrr.satara.road/,4.01,"Katakirrr Satara Road Indian City Pride, Adarsh Society, Survey No 694/1 Utsav Hotel Chowk, Near Woodland Showroom Near, Satara Rd, Pune Rating: 4.0"
