name,cuisine,address,latitude,longitude,phone,rating,types,user_ratings_total,vicinity,photo,scrape_timestamp
Madhuban Pure Veg Restaurant,Chinese,"361/5, Chhatrapati Shahu Maharaj Rd, Sangamvadi, Pune",18.5358503,73.8758951,,4,"restaurant,food,point_of_interest,establishment",4629,"361/5, Chhatrapati Shahu Maharaj Rd, Sangamvadi, Pune","[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100760160418134166584"">Tejaswini Gadekar</a>'], 'photo_reference': 'AciIO2fzowTA4hyr4Ryl6qgEDj0EjkvY8GW8AsZw9DFnmY80sGLgYcVE5q8_d8cuW1uKQdJaOisE3nZuQKW_jWwRtWrnOcMdixMU3xZPsUPQ68f6j_1YCbabZP-Gvoo1HT1XmVPWj-gYIgee7ezZhNjxc3_MpgyS14Sp4oO0uBo_M8y2jeglakDObcGlLpy0gbI8Q1r1OKSqRHY-G79CiUKGfPkmti4dHhmH1We6MG3G_4l5RpXYz8uoVVHD5YG3sz-6Wqmz6Xl_i-NCLR86ZpQY9hXgCXJ3-gNeO53S2YFpsdiNq2s5_13lsi0DcWklrVntj86f0CGYMarG5bN7hOBNJtQQ3CADn14TiVf8ROUyM74O14sz6vCkJ6zJEWRGBjTT0-vn7Y_M4GnIDCSqjkljXan02mXEoOtaNOwaUdnwuDWJHOtsZqKpwzGZSyE7sJzlMKlHoD9EZGmljmieN57nAUcdTxH3JCAVdBQARrhMEzAlzITuKhWdIYoY8TrKJpE4fyu7-PiRmc3m5Ix0N6SG7R1o66nMHUtHCmdm1YxpVPGqv1BA1_8lQL5A2ucKYb0PL0-MT_ICHMGjW_Z8He0mFM2G30KnM1Yfm2dWApCh8VpcBiEr3p4tn_YvFxPfIxL6LCYWbA', 'width': 4608}]",2025-10-17T07:30:44.684301
McDonald's,Chinese,"Shankar Sheth Road, Vrindavan Society, Guru Nanak Nagar, Pune",18.5010345,73.8726113,,4.3,"cafe,meal_delivery,restaurant,food,store,point_of_interest,establishment",1718,"Shankar Sheth Road, Vrindavan Society, Guru Nanak Nagar, Pune","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107701081554353558315"">Abhishek Saswade</a>'], 'photo_reference': 'AciIO2c0oztvHPmySuKmum5e8_ounLJ3Zk-nHtZE5lQP7it57vkm8svO2FuF_yMMbmDOelsPmuROojJ5NJDjr2pOmximYM-ux6SyY4lCwXwoXwfok5jpEu_g8thsq64osttfJQjfQjesHPCY-_DbSY9lngLm3yujP4owPJ0x8fTC9Tm1cwXGrrL3iGKlnTve9OA_h0hDYFUGQ3tbAAaOWomu5N-D1lzVFRFMQqMStR4B-WkkaLyTTjGp8DZDQmMHlOHIYQwzdi6oKvf5W4JBUCpAPhL9gTCQjL7762Q3xsNidaZurqwRkg6dxNzLrmOWsTOx0y3vS3OK2n4_e85FOxgX40kzA8XoP-Lgeop30vVm_-5AppxQb6bs2_oK-5A0akYJW2yk6rqUJA3mfIOJcvHbpTApAJilkIiXuRi4GAKh7hVD7f-e6K_khs96OW0jjvq4OZN2HYJX1QkfSxmc9KhNHvH1mC_ha-Tw_v5myiajrHt8GHmJ_Tej4fFySfbJ3eYJABEuGFiG6NIpv38B675nXUvZQXSMhkT4AGGltmGw8hc1KkVHJ7LAg89ApDz0vsx9LkKu-AqG9xUTeDogzDydgEaGUjIy3UADBAuGxei3zFKv1Y9wh1EH7m2-if7BNcSZcN89kw', 'width': 4160}]",2025-10-17T07:30:44.785934
"Domino's Pizza | Gultekadi , Pune",Chinese,"Unit Bearing No. S-07, Third Floor Pacific Mall, Jagannath Shankarsheth Road Guru Nanak Nagar, Vrindavan Society Swargate, Gultekadi, Pune",18.5013298,73.8727375,,4,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",2199,"Unit Bearing No. S-07, Third Floor Pacific Mall, Jagannath Shankarsheth Road Guru Nanak Nagar, Vrindavan Society Swargate, Gultekadi, Pune","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113894783174990772096"">Sachin Kamble</a>'], 'photo_reference': 'AciIO2cgHxhke5KIlTAoYBfinAtM0jaZ5XnprhwPKA2AfVyew1G4jsT6cFe5b95IzVrGa47fkI_SjTji67gczxCxPNKOKpMVUp3gB169UFbYLlIRYTQXsq_qL66JiJdushHujD1OYS5jLO5EXPJz3Cigpq3kK6ooJlUCq9Kj_B3G_zmrnhsYFLXsog1bno-ejx0Yak4KPDjj0M4UjRcQ5hUMJIoPUjOF6xNW0BNYeA1z_3zOfDcPtrzH10g8hp0LXwpiL5L90YpmZs-UxfWvfvOafz2vg9HQTct_PCXLEu_HAPX206_N4OXRI-zxkffvJsbAg-wBxoxHYlfuoOL9ZdirTEJkOOPIHjqRXNWuciL5SBxn_GF_nFTNXe-wYqpdtZdkruI0DvJqZMWNuLe4-bhYETrVP3S0PZ8-AHvthlA9279nucQEbaDMhbmj1o_irLpZIklcZawBrv_Bt682_awse2ByPh0Yl8vlGY4LXn7IVbYxud1kHuxi9CjvFDdtOiDgdHY5V2JKwdqFeMXyrmlqhr9o6XQ6eE1682RZBLHQnWZ3wllhcEFRciBjOtNajxYJ7KmPBVvxm2yUa0zRgp_RFACwQqIcn8XU7ByB_lydAakgAuSPRlpnzZ62sdF79X7H', 'width': 4160}]",2025-10-17T07:30:44.888830
GREAT MARATHA,Chinese,"Shop No 7, Deccan Gymkhana, Pune",18.5147311,73.8417815,,4.3,"restaurant,food,point_of_interest,establishment",12,"Shop No 7, Deccan Gymkhana, Pune","[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101716986917510471569"">Prathmesh Jadhav</a>'], 'photo_reference': 'AciIO2cZk2vFAAtLzTFzNw23kNPo2tdp4VbwQMSe8_kKdWgA_hLkJRe01xfErXKeYyxK2UzDgWZnvSaMhC9C3GsA46daHmzRtFID5I3Vas7YTXN9xB_qklxlJyk2-Up3dKq6BOsRydWru-H5g6C49L0Cdte8lp_j-upxYKd_kQFhkTXSgjEGEGtMTwp7EnjC61l35PldU0d7RXSDcOR5DHGCWTlFYmqEz-QWRS8cMywxX54HhckgtssVEAzT9cvmJCyMYwxKSAi85lp03dGA7BTSgwseIcO9Y1odM_cdAzvSKAIsqBgWtq1Xk4-Thx6wRSI6vy4r0h9ypfkB_ih_nKbiyma9pnbEfgitFeTWSbVEY58G-He1mK1ufy0mq0dFzAy--rSXlh1xonMFhX2mjLq0YKoHbvXgMNx5WO59ZkMgyFYcC_YJiyufl-oC1Byvcsj2zAlZ7aTDb5SWGYkbS3qwT1SdTBFsz9zeHvdAVnGthDxUnmzCNZNu0v6JDwmKF8vJneRj5KWNkp5nbU_t3Ewb75ceEekxoLqvnrLYCZqqP_mJv9oOuaeFqXeCoa-JVYMCdM18KE04S4fZ0bI4eR5vpBW3pKGCbaW9GzuoXGAXiU87lUQxzYk_fRqxRF-yvgxdod2ALg', 'width': 1080}]",2025-10-17T07:30:44.990852
Dulari Garden,Chinese,"near Apollo Theatre, 337, Mudaliar Road, Rasta Peth, Pune",18.5192605,73.8653028,,3.9,"restaurant,food,point_of_interest,establishment",260,"near Apollo Theatre, 337, Mudaliar Road, Rasta Peth, Pune","[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100615533649102861600"">Abhishek Dhumal</a>'], 'photo_reference': 'AciIO2dvwVXUwgbiRLXNHkSOz520ng1tCfqQ8b6tA66pAQcT6y7pdK2obmNfMyiZqJidxBkYrXwIsv_cXhgw-eQKgcdww_7lVsSmY42wqWo4yWkgJPp6zTzBh35usfNTiEFvsbPyd9KOq4CymuF3mc7We-uxGHIA6jCSmE0zvt_3fHOTLQCn-K_dldfkbk1cDcnQMmgZztrYJcbYq36e9vC1uzV_rrhfb3uOZ5kp-JgmqiSlAxTTYWSzgjjbW8YE50aBkmmGrd49dBzML2z_XRjvYNre-WJJIXG5GWhTd298_buhVIAEeqT0T3biKLZjtFi_a_l4mRjMP96-Eh1wrOSIZ817w6QUvuOJH1Q227Ia07fQ8tlnvFU3je1Tnes4ncarONIErXilJdBq2xiZYSRHFsQA6bhwtCrU1BP12fAjIWeDgfjBgOvj8bT8p5XSvdwokDnneSIl_0WSpH3Y4tBGupo1vgM0GBnl8G2gjiA1j75dVcxC43HYrCkfTIFQRmW6ntJ5MDcpZNpRQ113CrgkBN-bwW5jybFNyFaASoe4J6rrTGabfTPaaN5F7WD_smOEjtYVc4AkdkRHOdsHeoIKx-w6759eNX_gVrLNb6pFiAZ2W6yZYmz6AxFKJh00a7xpJnis2HJr', 'width': 4032}]",2025-10-17T07:30:45.093230
Hotel Nagpur,Chinese,"GR6X+2G8, near Shanbhui Hotel, RB Kumthekar Road, Ramashram Society, Perugate, Sadashiv Peth, Pune",18.510046,73.848828,,4,"restaurant,lodging,food,point_of_interest,establishment",614,"GR6X+2G8, near Shanbhui Hotel, RB Kumthekar Road, Ramashram Society, Perugate, Sadashiv Peth, Pune","[{'height': 2610, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103859667021627889221"">Sourabh Redekar</a>'], 'photo_reference': 'AciIO2d1Bx4zr2-z7mDN60SAly9e-ydDUrS8ehMqp4lX_FAKzYWSPmDQQ2Zls9slYHxHkTnVDS9rre_F4SHie3zIt9exj1hVq159wu50WTXMySUG_iYiD7fEMVBKEoPNgnNoX8wvqvu2zHYrkkGfzZ7ely4Q-O6lsPAdtIW9b15xccDOwsgLNB3MdO4BUOQOULpuk8WflKqtuq97TIeKp6tN4NJ9o-c1lmpn1XFhsu9tJMaK2wTfQTFpPXYwHzspiKBjGy81XK6309pVcbb_FUbITS3sS71BHqhnLaTEnkaG5Riyz0idiBmfIS8g7pd7GpTKzx43-X1RDbRyAvaJ8mcNFKRC00OkiR7G2oNFZ2Srwc3AdLf7nJN5_yX26bK3IdUhFlvsq9JyxDfM69LACKc51zuwUUMK7IlslcExlBsRnUK6y8V3NVMg6mIlKi_nt02Id924IqikPR57mTSzbWDOnM2ZHYFN2IKJN3hiYz2Xpv_U3U4mQztVv32K-M1Yhg4Ywi5KWwPWxQCr3CcT9V9N7zPpLEvkp5LEXGXvlmoYkM9O9NcRxs7tsgkGvpd3lh39WYtPZk2m4Csp8YsU2a-7ikb3cI7Ng1-XR7qodtNhyTV9Ev4va6xbL0yq4LjHTS79ZtVPVT2B', 'width': 4640}]",2025-10-17T07:30:45.194811
Hotel Maratha Kolhapur Darbar,Chinese,"GR6X+R4F, 875, Jnana Prabodhini path, Tilak Road, Sadashiv Peth, near Bramhan Mangal Karyalay, 993, Vedacharya Phatak Guruji Road, Perugate, Sadashiv Peth, Pune",18.512195,73.8476693,,4.1,"restaurant,food,point_of_interest,establishment",1670,"GR6X+R4F, 875, Jnana Prabodhini path, Tilak Road, Sadashiv Peth, near Bramhan Mangal Karyalay, 993, Vedacharya Phatak Guruji Road, Perugate, Sadashiv Peth, Pune","[{'height': 642, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107714722573302440508"">Manish Jadhav</a>'], 'photo_reference': 'AciIO2fcFPD7dHw9xMEPDKcdGy6oB6x3Z8xke12yAW6ciANB8xhdzVEZlxrlZbA92AJicPHcIVYOfFe6GMMotWB1HxAqBtqxbcfgmtJTnP73M49TQWLbl2tjgwdJTvWGsRCJmLYutkWahcKl02EKSGEWLDsbbg3vv5jWNfeDfH3Lkq5RB90Ll1YbJOFTROU6AVnHgkZfoBPnDt39EZWe32jYnLF1Dt0F4UjPa-I6zS2f00ZxBFlQtWwW0Wkt9q03WTBOL0hMh8EQusUH18zLpIx3xjK2Z1BJMvkOIvFBZwxO-Qg9wIpM6y-9nMasPvG0QPLcAKUUYeaED3IbwmTKWQS-en4nchL16Jq5E3hznZejuzxja1vbyoUDJTJe40sMTXmPnyLiug5W2J7PYjUbEvq55Ez_FMTMmu1eWDe_1CMKTP9ItC_7QsdfIhHf17-ONoglGJ1JGwDOAnHwsGMHRhKYJDrRuPjLXafHPqFa6nO_G5xlqQkhixDEx3VmMlf0jnrLGQAqy1tJgkmV97UYdvgSLJ0eORLweERy-aRipwBlgMV7iuTzkR-nza_QNMdvvsm7TKqFdMNOiHRu8JWpQAnaPSV2wzUubn96XRoePNJKwQkukdCqi8cOa4Wb_Ec7YJdHHmpqG2eNA0Pb9LwRQZ_DLyAUrcU', 'width': 1179}]",2025-10-17T07:30:45.296934
Nandu's Parathas,Chinese,"Shop No. 1, Damodar Narayan Market, Balkrishna Sakharam Dhole Patil Road, Pune",18.535919,73.875888,,3.9,"meal_takeaway,restaurant,food,point_of_interest,establishment",1587,"Shop No. 1, Damodar Narayan Market, Balkrishna Sakharam Dhole Patil Road, Pune","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109050785813886376259"">Jigar Patel</a>'], 'photo_reference': 'AciIO2eF_Kz2BsnqV2B8BzC-RIx0v7I5wTNYHvhPukUnasWd1GTCGmdwmJ3nh6fzpPibipq_lCUJ4wmPP1WsDAHbyiTNxqXcdpa2nI05LQjSYpB9BfcTOFn_2maFz-oGEFtuPH9N2ggbgz7qla8Nh3IwNbqitF8d51jBfY-NpxyylH5s-igxGuLn_RQQo2vmwibNolKVjRiZ-O54rgaVjbB0u9C2v6ijtY7C-1vtVAtLgw_eJMLFcNK2VzXgqymSNXFeeOp8CEafFkVRfb-6WBL1qrgsZ5xbgL5DNM1aFboZCQImvIJ2mleytRJQkEUtvwdYx3Fs2t8yRKMTbHJ837kUOSFoRJfWc9EEKDTR8YXAGfJc8jHQ4GJ2S0BSJ3MU8aeTzu3iFnytc7qQsGJ_6JmG5CLP0PKORXMHqJnufahoxSC5ve2YwhUAvnHt_qfIf_XwZaAxkUE7Ez0CLN5yu6Qp3xH_2i_vde2JSjjgIkm_ylUMdDX96F6rB2oi7PEatPqKaPgXvqJS_cQBsxdMaY5Wvc8vwVsQyVCm9D65HDGTWylB1UuRosOTMypc2w2HVXeZroT3SjXJbzZ4-iAGWelAgLmQZXpTPpUNsu7R6fZo5h8f3IsZv6TJtsdQIYaAyX57-Yd2nw', 'width': 1920}]",2025-10-17T07:30:45.398199
Casablanca Cafe,Chinese,"The Pride Hotel, 5, University Road, Narveer Tanaji Wadi, Shivajinagar, Pune",18.531201,73.847244,,4.1,"cafe,restaurant,food,store,point_of_interest,establishment",231,"The Pride Hotel, 5, University Road, Narveer Tanaji Wadi, Shivajinagar, Pune","[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111631018301412541784"">Akshay Raut</a>'], 'photo_reference': 'AciIO2e3mGqI4NPadISjMb_z3GWfNMvcBuy0udhzcun-cTaPGA1Vu4Ed06sXCrBmX5doR5a9OE3xD5cX46SVsm29R7_Gzc6xlFY4-pmN6sk92FL98vVEVi_SvPMWRw26Tg-Inxi0LPvQrC3rvN4mEI8r2q4Gcnv5IrY8RpvEmpj1FjlTeVOvlY1Z7owfUT4dsTENAJ5xiPszaCjulE89WWuxSSSVI9Y5k2RWAcC9bVHWgCZsibRLQ3SVckNA0iUWLLHamJQijO5vcbwkkTvK8zyQ8QIgXScp_kgkxP4cA0tfx2en7zaL5NTFYrt7PbZQC0f4qSFl4y9JcHv0LKRfHbTVKwpCZH4fplqyeD7GqTrAmk4hCYpftBMFAMK03u0L_9JDbqI4Zd4ezT2QmFmzwy9jiW21pHERGbzH7DXvVrUE_aXgxnslmMVFHJWJQe0P2SAqO1Zls0eYu5U8qa7jwPIGkT_QRD2p1aIweSXx4zcJPp8VXcyiMIcqXinyH0v_lfBfigCgBRYMlo5rcoLWtKwRZ4Q9tj3ElqiziMS6rwMVlWpvV_zgDySxED87cH1H-yRM29YAfBW49IUvIDGnnR8HhCujY_cp8MjtiQp3R3DZI0rmPbaMWK6F9rxT3dQPXTc-EUs4izdY', 'width': 3072}]",2025-10-17T07:30:45.499986
Ku Kooch Ku,Chinese,"Bus Stand, opposite PMT Building, 1256, Jangali Maharaj Road, Shivaji Nagar, Deccan Gymkhana, Pune",18.5170297,73.8428966,,3.5,"restaurant,food,point_of_interest,establishment",455,"Bus Stand, opposite PMT Building, 1256, Jangali Maharaj Road, Shivaji Nagar, Deccan Gymkhana, Pune","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115340777727060847112"">Dhanraj Bhosale</a>'], 'photo_reference': 'AciIO2cBVJ1EIshV3hYNr63A91xknaQgultKHdUN2JZ8X2xV7YHjnkn8GyucY02n75ZE4du9NfA9_kgCYzd0GP6TRZITaeokiXdCpe2Q2Bs5TSWkipe-jPRe26EBqOz36x6io6C2cbJiwfuFmJcdvmweX2SHxRjjF5MgqqWRzzJJaeVNxBgE115Q4JiHlAMs6PrsFwKgDIMLZGYOBxi5on8woUPAa4TBdI46ctEQXPLYCze9_NUIhJ--Q1QEvXtHccDugxQLuoauBrj4O2Ta2qhWtlUl2hbCVsjtsEo5BS0B0i817Az4vDUi6tsOmW6iNWTApG47Up6V-iA-J1DWXTlA8JxzfCqpE3-hEalgBfL2myGeF8n-K3lG3uV2U5msU9ThyVPFOTcD9R4A6QuOYPQAxMpEuHak1a4Tzb2B61gzRuJALrC_ONCD1kbO6t7P0jjX2cSXGVtXTwvF4sMJQVU-WIKtoDNgq69duFhMLD9qy8-zs1FTHqeLndBnMYCvJnrFun31fPCV1BmtY53yRrMvK-DAJnbAALRCLZ7fq7TxefC4AZJfI18LpML_n5zrd1eObmIB1cPOU-kGQUhPB8_lCUUZ2x9F-NC-FUY6Top5E4nvl3vV6NpKkArUdoD9RONJ_e2BlAL5', 'width': 4032}]",2025-10-17T07:30:45.602085
Lalit Mahal,Chinese,"GVC7+8X3, near Bank Of Maharashtra, Railway Station Road, Somwar Peth, Pune",18.5207596,73.8649176,,3.9,"restaurant,food,point_of_interest,establishment",226,"GVC7+8X3, near Bank Of Maharashtra, Railway Station Road, Somwar Peth, Pune","[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109733352568183169827"">mani maran</a>'], 'photo_reference': 'AciIO2fX216jkeTIrdj0GERg2o96Shpos9kmgb9WIFFT__3DiVdAzdWoBZ3iPPeTpW_JHWo7eRxSn1OpBUyov6MwQRYChjqYXkl6rcI8LDlBU0nFQOV02pAIH7MXZJO8LsaJy0pG0fkGrF2URm9PU8SPvDjmsDwIxm9cmQysTA7qu7GufyAMZJK_49Hn_bbHh3ZVpPPV1sC4hPD8kggz2MDftEfpy7vvA4VVXpNFGqbl9LF3j-046oEffFGr26w4OCtwweAftc9VGctFV23Wanq52z4WA2-MHhudSLTwa1gYhW3GpTSlDNpeks47fvclLjxlFrDGRoW6wWV4rMmLKUBYHd7P2NwS6L3df7VZ007Tlr7il2e3WhfCjd9oL0yNPdS3cY7W7dDWA_rJH7sR_i0sWqencg_TyUchH9OdSEkdNS1LdkdDzYSIOpUX19cg_tiL_8rwvlkfryde5sKug5A6nvVNIeNuwzqPlho3fE-d3ODXHUxiaWXdXMsfBDltQ3Aev7oXXPMsLgGSZhw2zxSPDDj83IomOLQbub4RkdZqDRmuOGzaHy9hxv4SX7LBG0Yn1BEXbMbr9CNjtpOhcIsUEmMojWKsCxmbizEqN6GWtcVpYbAvqns3SAu41iT2vs-vZFmQIA', 'width': 4000}]",2025-10-17T07:30:45.703467
Tien,Chinese,"1, Rajas Garden Apartments, opposite Hanuman Temple, Pawar Road, Model Colony, Shivajinagar, Pune",18.5302351,73.8324548,,4.2,"restaurant,food,point_of_interest,establishment",1509,"1, Rajas Garden Apartments, opposite Hanuman Temple, Pawar Road, Model Colony, Shivajinagar, Pune","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111900831647540085816"">Shubham Sahamate</a>'], 'photo_reference': 'AciIO2ccy94ACnZGN_N87USc7ulz_HA1XyNs2gpdmmg7ftVbnBW-Lz3UgEjjC4cMH6OHxnF7rZsvs_WlFN2jqKIJY_-x0P620ywN9CgUWtuGy6Is2nyDBO6OYwT1xx0-zCuF-BT9cinZS_mEybrE4-iAYpDKWPTTXBsOf59Jv5lhgB6WJQNOFtZD2yKUNE7n-V4jplIXeyIikQ3wXTODqRBsOQrdHUodBFWa8bex3IZRRrj8Qfs2b-JIRweMRe9_6HGMcJ7s39AdTLC7KzbDi0_fvdxk12zbav2tPLV5fawJVuvOk5i5ZJbvk7rBkmzo_mNvl0StO9mo8QHEl0KEJB9eYpADStSgJHn6oHSJCNhs5bFZX8yJrCRGhrm7LLe6acoV5uKqyodFis7JL_RlQlfLtCHaIDWNFitRrXwjc5r5hsYEVJlt_yyTmEaqk8MeohClNg9QfcYst10TjnNyu4nGgUuQwy1uSL7rBQkbiiq1dwqLepuQsvSlIDn5-6EcjRUWtyvEKtUK-ib7S7wHo6zt0a9-cmoAuQ2LIWpFbccXVTA4vjW8V0hcat7wi8DsuRxMOXvpOhWgXi7oaxY9IJ4IclEUDDRf-Rk8fvlcGVc7fyLC6EM3rcNz0xF17Gz5qHBcP98K-A', 'width': 4032}]",2025-10-17T07:30:45.805500
Joshi Wadewale,Chinese,"GR9R+R98, Fergusson College Road, Deccan Gymkhana, Pune",18.5195463,73.8409435,,3.7,"restaurant,food,point_of_interest,establishment",2886,"GR9R+R98, Fergusson College Road, Deccan Gymkhana, Pune","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104225627610824508590"">Somnath Wadkar</a>'], 'photo_reference': 'AciIO2eczBR-wLA1PNpprNxxdvXRzKCimNAAIPVBY175aw1J8mgzCL9tJszSrs_-MFbjxmfvVhxfAQlqYGOuVNd67XIxb1Sd_NVRbgOy0rUsF2Tu_AZ-MBDCkCt7-vKCQErMm6ol0-WiDWwReAtEYyS0tr9MRPSLYVFs73p0paR8RbJ5MKw1lT6yxgewxXBUn5p_YOTYzDUZ2YAktWyBdrKQI1PDQud9L0Qc2M_XWrNq2tXRTKHyNdCi7kBc6UmTo-RRo_LsOukLQiDC63MMc9CbEYaEL1yBUFcIIj4r6SWWTUeuADIlQDznP70TBV5lBCMPNwQy6aAQhdUVvr7rLbIF-VDkTXeIVbuSsDhxY7NuHPn7wudxzUyF4Mpz8JOwQJp3Hq0Dlzz4NrpHXQA3FzPraLoRDXBFmSdWdY-WsHcowAFUwwF9X8PnvSLNjLQ_gerrEK3zsEZQrDYCrF6teaiHBulz0r2wi5Atl4fy-Y8KUIuX5QqN2ebdn6JSaF4VmMXHi-8n4NhdenF1kTleZCBEyuGSzd5n7-gHWjjXm334wmNd05NDEwrpfg_KDBN7eYgX_eOd68XcwdM3-KF4jNHjZV3DzScUTVpSx6P57ok2PYIcF_aQf6s8EkDJTIVnvT9zOcWbFmmz', 'width': 1440}]",2025-10-17T07:30:45.907742
Hotel HMR Royal Inn,Chinese,"opp. Gandharva Lawns, Katraj, Pune - Satara Road, opp. Gandharva Lawns, near Katraj, Chowk, Katraj, Pune",18.4412518,73.8602749,,3.8,"bar,lodging,restaurant,point_of_interest,food,establishment",1383,"opp. Gandharva Lawns, Katraj, Pune - Satara Road, opp. Gandharva Lawns, near Katraj, Chowk, Katraj, Pune","[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100646078368901121860"">Hotel HMR Royal Inn</a>'], 'photo_reference': 'AciIO2fnf53bDEafWWou0QlFqqkX_Eqy5HMi_YsNfXQlgWoLx7YIYtzkKCPZD_L_930Ar8HMTt89jg0ZbjmL8Bq6Stz7JoV0Z7I-Z1Dz5-3nP95d-6hIdaZtdnT7oOBLUbnmUPW1jFiscLc5zOVcfos68pIBS4pB7aKI7kGRD5xkGrtQJS0H6XblbQZTKsUsd00JXT6mc5CWsXK4wzQDR9-FcFbhN59N0WFAK1-G4m0IbM8vn9tTFCtStEhTFvVXBB-zT1ucXgUdpShIs3Y0DkpnD4rCLFx3B51nKYnaAwnEXmnZS4TMShD1l7BVmT6m55rHE7XFUWXdXw4', 'width': 960}]",2025-10-17T07:30:46.010545
Sadanand Resorts,Chinese,"Opposite Balewadi Sports Complex, S No 105/3, Baner - Mahalunge Road, Baner, Pune",18.568374,73.7666465,,4,"meal_takeaway,bar,lodging,restaurant,point_of_interest,food,establishment",1033,"Opposite Balewadi Sports Complex, S No 105/3, Baner - Mahalunge Road, Baner, Pune","[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108333875420717025320"">सदानंद Resorts</a>'], 'photo_reference': 'AciIO2fYuOsXt2_wssyl2s1hPppA20gLNBIzDxtezyDuWLIMKU6Arwc4JFcVMNH5xdOBx-lE2JAkcneevDWR75t8ebfDB_x8E_j6fdtB1YgorpJWRALbPhLwOnGBi9-vHSePMVfcOKdhF9SyZVB7OHer7fKrGeF0YLEUsYtX7em_I2cwNz9qHcuwFrfplY-Icu_5wmNrFkT3GmfvUGXNSdJ-L51gQRtiwsZDezyz8puqygj66_15OSyONn6WWCfC3PK1z7sfE_bWa8VjCcgzE8xndUh_M4Uz_bfy0OSIL0_ROZVT4PJuQPo88CMWA6N6bIkRK57s7vA9', 'width': 1440}]",2025-10-17T07:30:46.111683
Bhagyashree Restaurant,Chinese,"Plot No. 169/1+2+3, Tupe Nagar, behind Suzlon Co, Pune",18.512143,73.937268,,3.8,"restaurant,lodging,point_of_interest,food,establishment",831,"Plot No. 169/1+2+3, Tupe Nagar, behind Suzlon Co, Pune","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113126686976258815225"">Turiya Avastha</a>'], 'photo_reference': 'AciIO2dAMRTzGbB4hGFMoz31TCkKP4EdcO4C38PcXQpjXnE0jh2XH2cHTc6aGHu4js8VXKYJN5_RKNUQxV6BFrSuB6MKX6He1G4_x9xZFfb7As_NJjjAE1nD-oIZ881AXkosk1gwKAFyq2t1S6CcGiQ77ZvTPtogTONQrHjo_7srDpJp1cuPgxdt-b2Re7XHKRLx85ycqJ_ZRBdwbP9AmCLvs6un776s9SpjRBOK9SCTYPa5CzPaNhOEdSaQPyHTMEG1t36DSHk3BuzQspOH1baeoXkXdeB7RjQUk6jfcggCM6MeLtRdzODRtr4eBTiTyeh1160Ne14RnEbbN-En7qqBvlUJI26FNigdThD3v3S9-Ilj0MXwelkviaaT1PKY0NyUED9gXocD9zkfkz8GQTS1Gt-BKffgPkaRub2-q4sbYK6d_dACkEsFi_9vRQVDdLaDpQImrGi-CvP4lDjtojnNPxGACBYGGk46qylarpVDSHRbvCW9a463j3xZ0WPW_a0ZIdSl94ANoIwul7JfIKdiBf4l_ShGd6743QHRW9kynaR4VeGLUKASaqfBwK9AcXG4aCpV7aeT2q0tQ5YFBYpVKfnKqSDS6PgR5GULWFus6Xz3nRmdqtSvBlHn6BHvgSCUFXBY8Q', 'width': 1529}]",2025-10-17T07:30:46.213710
Squisito - The Italian Ristorante,Chinese,"Jewel Tower, Lane Number 5, Koregaon Park, Pune",18.536326,73.8972821,,4.3,"restaurant,point_of_interest,food,establishment",1806,"Jewel Tower, Lane Number 5, Koregaon Park, Pune","[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114943645277019246966"">Squisito - The Italian Ristorante</a>'], 'photo_reference': 'AciIO2dnD1-nfj42H3qo0qJ9fp79BXcoYdJDWCzFeyH_UGVOntJoBoz5DXXQJHiLoqCF1eaQOfdOGKlhPgT6fRCiQrq5yadYoMg_qmlSp4C1QdTygeuCcIeiqllweJ43fb8XIoYM8cbeHXGDZCypDRTomwMhYPeR-LKx2Yj41z3d22p9XeuhHg7ROqUVRgcWzUgPQjuRpOwkM53nuc7EqV8-Bq8Eu4BJKyWCFI7-CKK-HSMlRrZqiCEw3r2IGXX5IxEaEvPoMV3UofTlgpLO23yayaCuD4iPUY6pYgNa-5UV1H1z7flNpMPyQUYoqol6msaEv23N_VWK6fc', 'width': 1080}]",2025-10-17T07:30:46.315261
